nsta_rank,nsta_pipeline_number,pipeline_name,fluid,nsta_status,length_km,pipe_grade,smys_mpa,design_factor,pressure_basis,max_operating_pressure_barg,inner_diameter_mm,reported_wall_thickness_mm,review_margin_fraction,pressure_mpa_for_check,outer_diameter_mm,barlow_min_wall_mm,pressure_margin_mm,pressure_margin_fraction,pressure_utilization_fraction,status,notes
1,PL774,CATS PIPELINE,GAS,ACTIVE,404.973744,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,179.3,857.6,28.4,0.2,18.031325,914.4,27.676798,0.723202,0.025465,0.974535,review_required,"Positive pressure margin, but below the screening review threshold of 20% of reported wall thickness."
2,PL1761,20in Gas Trunkline - Schiehallion PLEM to Sullom Voe terminal,GAS,ACTIVE,188.0,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,235.0,473.0,17.5,0.2,23.601325,508.0,20.125751,-2.625751,-0.150043,1.150043,fail_sanity,"Calculated pressure minimum exceeds reported wall thickness; verify NSTA dimensions, pressure basis, pipe grade, and design factor."
3,PL762,SAGE PIPELINE,GAS,ACTIVE,323.737672,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,172.3,716.5,22.7,0.2,17.331325,761.9,22.165714,0.534286,0.023537,0.976463,review_required,"Positive pressure margin, but below the screening review threshold of 20% of reported wall thickness."
4,PL3088,CYGNUS TO ETS GAS PIPELINE,GAS,ACTIVE,50.2338,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,139.3,565.0,22.2,0.2,14.031325,609.4,14.353345,7.846655,0.353453,0.646547,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
5,PL2225,BBL BALGZAND TO BACTON,GAS,ACTIVE,229.28041,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,137.4,872.6,20.9,0.2,13.841325,914.4,21.245447,-0.345447,-0.016529,1.016529,fail_sanity,"Calculated pressure minimum exceeds reported wall thickness; verify NSTA dimensions, pressure basis, pipe grade, and design factor."
6,PL164,MAGNUS TO BRENT A (NLGP),GAS,ACTIVE,79.33639,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,147.0,476.0,15.9,0.2,14.801325,507.8,12.616686,3.283314,0.206498,0.793502,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
7,PL1339,BACTON TO ZEEBRUGE,GAS,ACTIVE,231.578833,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,147.0,972.48,21.76,0.2,14.801325,1016.0,25.243309,-3.483309,-0.160079,1.160079,fail_sanity,"Calculated pressure minimum exceeds reported wall thickness; verify NSTA dimensions, pressure basis, pipe grade, and design factor."
8,PL774,CATS PIPELINE,GAS,ACTIVE,0.10245,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,179.3,857.6,33.9,0.2,18.031325,925.4,28.009743,5.890257,0.173754,0.826246,review_required,"Positive pressure margin, but below the screening review threshold of 20% of reported wall thickness."
9,"PL762
PL762
PL762",SAGE PIPELINE,GAS,ACTIVE,0.136346,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,172.3,716.5,28.6,0.2,17.331325,773.7,22.509008,6.090992,0.212972,0.787028,pass_sanity,Reported wall thickness is above the simple pressure minimum by at least the screening review threshold.
10,PL1849,Central Gas Jumper from Manifold M1J to Manifold M1C,GAS,ACTIVE,6.073,X60,413.7,0.72,NSTA MX_OP_PRES barg plus atmospheric pressure for screening consistency,257.0,517.56,20.62,0.2,25.801325,558.8,24.201952,-3.581952,-0.173713,1.173713,fail_sanity,"Calculated pressure minimum exceeds reported wall thickness; verify NSTA dimensions, pressure basis, pipe grade, and design factor."
